part_number,title,description,toc_url,toc_url_status,pdf_url
e20930,Alert User's Guide,This guide explains how to define periodic and event alerts to monitor the status of your Oracle E-Business Suite data.,https://docs.oracle.com/cd/doc.122/e20930/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20930.pdf
e22031,Application Framework Personalization Guide,This guide covers the design-time and run-time aspects of personalizing applications built with Oracle Application Framework.,https://docs.oracle.com/cd/doc.122/e22031/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22031.pdf
e96000,Application Integration Architecture Oracle Value Chain Planning Integration Base Pack Implementation Guide,This direct integration initiative enhances JD Edwards EnterpriseOne technology to facilitate integration with current and future planning applications in the Oracle EBS Value Chain Planning Suite. This direct integration also provides PeopleSoft Enterprise Supply Chain Management integration with Demantra Demand Management.,https://docs.oracle.com/cd/doc.122/e96000/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e96000.pdf
f32518,Application Management Pack for Oracle E-Business Suite Guide,This book is intended for administrators performing the tasks associated with maintaining an Oracle E-Business Suite system using the Oracle Application Management Pack for Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/f32518/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f32518.pdf
f83409,Application Management Pack for Oracle E-Business Suite Guide,This book is intended for administrators performing the tasks associated with maintaining an Oracle E-Business Suite system using the Oracle Application Management Pack for Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/f83409/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f83409.pdf
e80932,Application Management Pack for Oracle E-Business Suite Metric Reference Manual,This manual is a compilation of the metrics provided in Enterprise Manager Application Management Pack for Oracle E-Business Suite. Application Management Pack is a component of Application Management Suite or E-Business Suite Plug-in. This document is intended to describe metrics only for Application Management Pack for Oracle E-Business Suite and not for Real User Experience Insight (RUEI).,https://docs.oracle.com/cd/doc.122/e80932/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e80932.pdf
e48755,Assets User Guide,Oracle Assets User Guide,https://docs.oracle.com/cd/doc.122/e48755/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48755.pdf
e48784,Bill Presentment Architecture User's Guide,Describes Oracle Bill Presentment Architecture User Procedures,https://docs.oracle.com/cd/doc.122/e48784/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48784.pdf
e48954,Bills of Material User's Guide,This guide describes the user processes and procedures for Oracle Bills of Material.,https://docs.oracle.com/cd/doc.122/e48954/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48954.pdf
e48792,Capacity User's Guide,NOT USED YET - 12.2.3 Release - GA Release November 2013.,https://docs.oracle.com/cd/doc.122/e48792/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48792.pdf
e48900,Cash Management User's Guide,This guide describes the user processes and procedures for Oracle Cash Management.,https://docs.oracle.com/cd/doc.122/e48900/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48900.pdf
e49077,Channel Rebate and Point-of-Sale Management User's Guide,This guide describes Oracle Channel Revenue Management.,https://docs.oracle.com/cd/doc.122/e49077/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49077.pdf
e49075,Channel Rebates and Point-of-Sale Management Implementation Guide,Describes implementation steps for Channel Rebate and Point-of-Sale Management.,https://docs.oracle.com/cd/doc.122/e49075/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49075.pdf
e49078,Channel Revenue Management Implementation and Administration Guide,Describes implementation steps for the Channel Revenue Management suite of products.,https://docs.oracle.com/cd/doc.122/e49078/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49078.pdf
e48758,Collaborative Planning Implementation and User's Guide,Presents Oracle Collaborative Planning Implementation and User's Guide.,https://docs.oracle.com/cd/doc.122/e48758/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48758.pdf
e48919,Common Application Calendar Implementation Guide,This guide describes the implementation processes and procedures for Oracle Common Application Calendar.,https://docs.oracle.com/cd/doc.122/e48919/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48919.pdf
e48920,Common Application Calendar User Guide,This guide describes the user processes and procedures for Oracle Common Application Calendar.,https://docs.oracle.com/cd/doc.122/e48920/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48920.pdf
e49039,"Complex Maintenance, Repair, and Overhaul User's Guide",This guide includes features for Release 12.2.15.,https://docs.oracle.com/cd/doc.122/e49039/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49039.pdf
e48811,Configurator Constraint Definition Language Guide,Release 12.2.2 - GA Release September 2013.,https://docs.oracle.com/cd/doc.122/e48811/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48811.pdf
e48812,Configurator Developer User's Guide,Release 12.2.2 - GA Release September 2013.,https://docs.oracle.com/cd/doc.122/e48812/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48812.pdf
e48813,Configurator Extensions and Interface Object Developer's Guide,Release 12.2.2 - GA Release September 2013.,https://docs.oracle.com/cd/doc.122/e48813/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48813.pdf
e48815,Configurator Fusion Configurator Engine Guide,Release 12.2.2 - GA Release September 2013.,https://docs.oracle.com/cd/doc.122/e48815/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48815.pdf
e48816,Configurator Implementation Guide,Release 12.2.14+,https://docs.oracle.com/cd/doc.122/e48816/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48816.pdf
e48817,Configurator Installation Guide,October 2025 CPU,https://docs.oracle.com/cd/doc.122/e48817/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48817.pdf
e48818,Configurator Modeling Guide,Release 12.2.2 - GA Release September 2013.,https://docs.oracle.com/cd/doc.122/e48818/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48818.pdf
e48832,Configure to Order Process Guide,This guide provides the processes for Configure to Order.,https://docs.oracle.com/cd/doc.122/e48832/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48832.pdf
e48921,Content Manager Implementation and Administration Guide,This guide describes the implementation and administration processes and procedures for Oracle Content Manager.,https://docs.oracle.com/cd/doc.122/e48921/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48921.pdf
e48935,Contract Lifecycle Management for Public Sector Implementation Guide,Oracle Contract Lifecycle Management for Public Sector implementation processes and procedures.,https://docs.oracle.com/cd/doc.122/e48935/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48935.pdf
e48938,Contract Lifecycle Management for Public Sector iProcurement User's Guide,Oracle Contract Lifecycle Management for Public Sector iProcurement user processes and procedures.,https://docs.oracle.com/cd/doc.122/e48938/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48938.pdf
e48934,Contract Lifecycle Management for Public Sector iSupplier Portal User Guide,"The CLM iSupplier Portal User Guide details supplier tasks, along with buyer-supplier interactions.",https://docs.oracle.com/cd/doc.122/e48934/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48934.pdf
e48927,Contract Lifecycle Management for Public Sector Purchasing User Guide,Oracle Contract Lifecylce Management for Public Sector Purchasing user processes and procedures.,https://docs.oracle.com/cd/doc.122/e48927/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48927.pdf
e48936,Contract Lifecycle Management for Public Sector Sourcing User's Guide,Oracle Contract Lifecycle Management for Public Sector Sourcing user processes and procedures.,https://docs.oracle.com/cd/doc.122/e48936/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48936.pdf
e48929,Contracts Implementation and Administration Guide,Describes implementation steps for Oracle Contracts suite of products.,https://docs.oracle.com/cd/doc.122/e48929/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48929.pdf
e48829,Cost Management User's Guide,This is the Oracle E-Business Suite Cost Management User's Guide for Release 12.2.,https://docs.oracle.com/cd/doc.122/e48829/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48829.pdf
e48901,Credit Management User's Guide,This guide describes the user processes and procedures for Oracle Credit Management.,https://docs.oracle.com/cd/doc.122/e48901/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48901.pdf
e48923,Customer Data Librarian Implementation Guide,Describes how to implement Oracle Customer Data Librarian after implementing Oracle Customers Online.,https://docs.oracle.com/cd/doc.122/e48923/h/uaework/tmp/archive/e48923/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e48923.pdf
e48926,Customer Data Librarian User Guide,"Use Oracle Customer Data Librarian to maintain the quality of the Oracle Trading Community Architecture (TCA) Registry, the central repository of customer and other data that Oracle Customer Data Librarian and other applications in the Oracle E-Business Suite use.",https://docs.oracle.com/cd/doc.122/e48926/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48926.pdf
e48930,Customer Interaction History Implementation Guide,This guide includes implementation processes and procedures for Oracle Customer Interaction History.,https://docs.oracle.com/cd/doc.122/e48930/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48930.pdf
e48933,Customers Online Implementation Guide,"Provides specific implementation instructions for Oracle Customers Online, as well as administration instructions for using Oracle Trading Community Architecture with all Oracle e-Business Suite applications.",https://docs.oracle.com/cd/doc.122/e48933/h/uaework/tmp/archive/e48933/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e48933.pdf
e48937,Customers Online User Guide,"Describes how Oracle Customers Online (OCO) users can view, create, and manage customer information.",https://docs.oracle.com/cd/doc.122/e48937/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48937.pdf
e48759,Demand Planning Implementation and User's Guide,Updates made per Doc Bug Fix.,https://docs.oracle.com/cd/doc.122/e48759/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48759.pdf
e48765,Demand Signal Repository User's Guide,This guide describes the processes and procedures for implementing and using Oracle Demand Signal Repository.,https://docs.oracle.com/cd/doc.122/e48765/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48765.pdf
e44444,Demantra Analytical Engine Guide,Presents Oracle Demantra Analytical Engine Guide.,https://docs.oracle.com/cd/doc.122/e44444/h/uaework/tmp/archive/e44444/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e44444.pdf
e48801,Demantra Deduction and Settlement Management User's Guide,Presents Oracle Demantra Deduction and Settlement Management User's Guide.,https://docs.oracle.com/cd/doc.122/e48801/h/uaework/tmp/archive/e48801/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e48801.pdf
e48802,Demantra Demand Management User's Guide,Presents Oracle Demantra Demand Management User's Guide.,https://docs.oracle.com/cd/doc.122/e48802/h/uaework/tmp/archive/e48802/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e48802.pdf
e22232,Demantra Implementation Guide,Presents Oracle Demantra Implementation Guide.,https://docs.oracle.com/cd/doc.122/e22232/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22232.pdf
e22516,Demantra Installation Guide,Presents Oracle Demantra Installation Guide.,https://docs.oracle.com/cd/doc.122/e22516/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22516.pdf
e41575,Demantra Integration Guide,Presents Oracle Demantra Integration Guide.,https://docs.oracle.com/cd/doc.122/e41575/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e41575.pdf
e22233,Demantra Predictive Trade Planning User's Guide,Presents Oracle Demantra Predictive Trade Planning User's Guide.,https://docs.oracle.com/cd/doc.122/e22233/h/uaework/tmp/archive/e22233/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e22233.pdf
e48807,Demantra Real-Time Sales and Operations Planning User's Guide,Presents Oracle Demantra Real-Time Sales and Operations Planning User's Guide.,https://docs.oracle.com/cd/doc.122/e48807/h/uaework/tmp/archive/e48807/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e48807.pdf
e49182,Demantra Security Guide,Presents Oracle Demantra Security Guide.,https://docs.oracle.com/cd/doc.122/e49182/h/uaework/tmp/archive/e49182/toc.htm,legacy_broken,https://docs.oracle.com/cd/E26401_01/doc.122/e49182.pdf
e22751,Demantra System Requirements,Presents Oracle Demantra System Requirements.,https://docs.oracle.com/cd/doc.122/e22751/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22751.pdf
e22231,Demantra User's Guide,Presents Oracle Demantra User's Guide.,https://docs.oracle.com/cd/doc.122/e22231/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22231.pdf
e48963,Depot Repair Implementation Guide,"Provides information on the required setup steps, specific implementation tasks, public APIs, seeded lookup codes and values, update programs and workflows for Oracle Depot Repair.",https://docs.oracle.com/cd/doc.122/e48963/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48963.pdf
e48965,Depot Repair User's Guide,"Provides information on key concepts, features, process flows, and user interface of Oracle Depot Repair, and the tasks that can be performed from quick services like routine maintenance to complex overhauls, as part of an enterprise-wide solution for managing depot business processes.",https://docs.oracle.com/cd/doc.122/e48965/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48965.pdf
e22959,Diagnostics Framework User's Guide,Describes how to use the infrastructure of Oracle Diagnostics Framework in Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e22959/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22959.pdf
f34732,E-Business Suite Administering Enterprise Command Centers,Describes various tools and features of Oracle Enterprise Command Center Framework that can be used to manage and monitor Enterprise Command Centers.,https://docs.oracle.com/cd/doc.122/f34732/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f34732.pdf
f35809,E-Business Suite Cloud Manager Guide,This guide describes how to manage Oracle E-Business Suite environments on Oracle Cloud Infrastructure (OCI) using the automated tooling in Oracle E-Business Suite Cloud Manager.,https://docs.oracle.com/cd/doc.122/f35809/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f35809.pdf
e22949,E-Business Suite Concepts,Describes the Oracle E-Business Suite architecture and components.,https://docs.oracle.com/cd/doc.122/e22949/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22949.pdf
e22960,E-Business Suite CRM System Administrator's Guide,Describes the CRM System Administration Console in Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e22960/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22960.pdf
e22005,E-Business Suite Desktop Integration Framework Developer's Guide,Describes how to define custom integrators for use with Oracle Web Applications Desktop Integrator.,https://docs.oracle.com/cd/doc.122/e22005/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22005.pdf
e22961,E-Business Suite Developer's Guide,Describes procedures for custom development in Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e22961/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22961.pdf
f53031,E-Business Suite Electronic Technical Reference Manual User's Guide,This guide describes how to use the electronic repository of Oracle E-Business Suite database object definitions and their dependency information.,https://docs.oracle.com/cd/doc.122/f53031/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f53031.pdf
f21671,E-Business Suite Extending Enterprise Command Centers,Highlights important aspects of ECC architecture and the anatomy of an ECC dashboard and details the possible extension scenarios that can be achieved.,https://docs.oracle.com/cd/doc.122/f21671/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f21671.pdf
e22963,E-Business Suite Flexfields Guide,Describes the flexfields feature in Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e22963/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22963.pdf
f58859,E-Business Suite G-Invoicing Process Guide,This guide describes the processes and procedures for using Oracle E-Business Suite G-Invoicing.,https://docs.oracle.com/cd/doc.122/f58859/toc.htm,ok,https://docs.oracle.com/cd/doc.122/f58859.pdf
e79121,E-Business Suite Information Discovery Plus Integration and System Administration Guide,Oracle E-Business Suite Information Discovery Plus Integration and System Administration Guide,https://docs.oracle.com/cd/doc.122/e79121/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e79121.pdf
e22950,E-Business Suite Installation Guide: Using Rapid Install,Describes how to install Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e22950/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22950.pdf
e20927,E-Business Suite Integrated SOA Gateway Developer's Guide,"This guide describes how integration developers can perform end-to-end service integration activities, and how to invoke web services using the Service Invocation Framework.",https://docs.oracle.com/cd/doc.122/e20927/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20927.pdf
e20925,E-Business Suite Integrated SOA Gateway Implementation Guide,"This guide explains how integration administrators can manage and administer the web service activities for integration interfaces. It also includes how to manage Web service security, configure logs, and monitor SOAP messages.",https://docs.oracle.com/cd/doc.122/e20925/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20925.pdf
e20923,E-Business Suite Integrated SOA Gateway User's Guide,"This guide describes the high level service enablement process, explaining how users can browse and view the integration interface definitions and services residing in Oracle Integration Repository.",https://docs.oracle.com/cd/doc.122/e20923/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20923.pdf
e22954,E-Business Suite Maintenance Guide,Describes how to perform patching and other Oracle E-Business Suite maintenance operations.,https://docs.oracle.com/cd/doc.122/e22954/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22954.pdf
e64384,E-Business Suite Mobile Apps Administrator's Guide,"This guide describes how to set up an Oracle E-Business Suite instance to support connections from Oracle E-Business Suite mobile apps. It also describes common administrative tasks for configuring Oracle E-Business Suite mobile apps, as well as the logging and troubleshooting information.",https://docs.oracle.com/cd/doc.122/e64384/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e64384.pdf
e69284,E-Business Suite Mobile Apps Developer's Guide,This guide describes how to develop enterprise-distributed mobile apps by using mobile application archive (MAA) files and how to implement corporate branding. It also explains how to implement Oracle E-Business Suite REST services to develop custom mobile apps by using the Login component from Oracle E-Business Suite Mobile Foundation or using any mobile app development framework if desired.,https://docs.oracle.com/cd/doc.122/e69284/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e69284.pdf
e48833,E-Business Suite Multiple Oraganizations Implementation Guide,This guide provides information on configuring multiple organizations in Oracle E-Business Suite.,https://docs.oracle.com/cd/doc.122/e48833/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48833.pdf
e48810,E-Business Suite Oracle Asset Tracking Implementation Guide,This guide details the implementation procedures and considerations for Oracle Asset Tracking.,https://docs.oracle.com/cd/doc.122/e48810/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48810.pdf
e48803,E-Business Suite Oracle Asset Tracking User's Guide,This guide details the user procedures for Oracle Asset Tracking.,https://docs.oracle.com/cd/doc.122/e48803/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48803.pdf
e49040,"E-Business Suite Oracle Complex Maintenance, Repair, and Overhaul Implementation Guide",This guide includes 12.2.15 updates.,https://docs.oracle.com/cd/doc.122/e49040/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49040.pdf
e49035,"E-Business Suite Oracle Complex Maintenance, Repair, and Overhaul Process Guide",This guide includes Release 12.2.15 features and enhancements.,https://docs.oracle.com/cd/doc.122/e49035/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49035.pdf
e49052,E-Business Suite Oracle E-Records Implementation Guide,This guide describes the implementation processes and procedures for Oracle E-Records as of Release 12.2.16.,https://docs.oracle.com/cd/doc.122/e49052/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49052.pdf
e48782,E-Business Suite Oracle Enterprise Asset Management Implementation Guide,This guide details the concepts and procedures for implementing Oracle Enterprise Asset Management for Release 12.2.16.,https://docs.oracle.com/cd/doc.122/e48782/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48782.pdf
e48789,E-Business Suite Oracle Enterprise Asset Management User's Guide,This guide details the user concepts and procedures for using Oracle Enterprise Asset Management. This version contains updates as of Release 12.2.16.,https://docs.oracle.com/cd/doc.122/e48789/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48789.pdf
e49038,E-Business Suite Oracle Installed Base Implementation Guide,Contains updates to the Oracle Installed Base Implementation Guide for Release 12.2.16.,https://docs.oracle.com/cd/doc.122/e49038/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49038.pdf
e49036,E-Business Suite Oracle Installed Base User's Guide,This user's guide describes the processes and procedures to use Oracle Installed Base. This version contains updates for Release 12.2.16.,https://docs.oracle.com/cd/doc.122/e49036/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49036.pdf
e48911,E-Business Suite Oracle Site Hub User's Guide,This guide provides user concepts and processes for Oracle Site Hub as of Release 12.2.14.,https://docs.oracle.com/cd/doc.122/e48911/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48911.pdf
e22952,E-Business Suite Security Guide,"Provides information on a comprehensive range of security-related topics, including access control, user management, function security, data security, secure configuration, and auditing. It also describes how Oracle E-Business Suite can be integrated into a single sign-on environment.",https://docs.oracle.com/cd/doc.122/e22952/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22952.pdf
e22953,E-Business Suite Setup Guide,"Provides information on system configuration tasks that are carried out either after installation or whenever there is a significant change to the system. The activities described include defining concurrent programs and managers, enabling Oracle Applications Manager features, and setting up printers and online help.",https://docs.oracle.com/cd/doc.122/e22953/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22953.pdf
e87011,E-Business Suite Upgrade Guide Release 11i to 12.2 Upgrade Guide,This is the new re-write and new structure for the Release 11i to 12.2 Upgrade Guide.,https://docs.oracle.com/cd/doc.122/e87011/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e87011.pdf
e73540,E-Business Suite Upgrade Guide Release 12.0 and 12.1 to 12.2 Upgrade Guide,This guide contains upgrade information from,https://docs.oracle.com/cd/doc.122/e73540/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e73540.pdf
e22955,E-Business Suite User Interface Standards for Forms-Based Products,Contains the user interface (UI) standards for Oracle E-Business Suite Forms-based products.,https://docs.oracle.com/cd/doc.122/e22955/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22955.pdf
e22956,E-Business Suite User's Guide,Describes the Oracle E-Business Suite user interface.,https://docs.oracle.com/cd/doc.122/e22956/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e22956.pdf
e48750,E-Business Tax Implementation Guide,This guide provides implementer and administration concepts and processes for Oracle E-Business Suite Tax.,https://docs.oracle.com/cd/doc.122/e48750/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48750.pdf
e48752,E-Business Tax Reporting Guide,The Oracle E-Business Tax Reporting Guide contains reporting information for Oracle E-Business Tax.,https://docs.oracle.com/cd/doc.122/e48752/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48752.pdf
e48751,E-Business Tax User's Guide,This guide details the user concepts and procedures for using Oracle E-Business Suite Tax.,https://docs.oracle.com/cd/doc.122/e48751/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48751.pdf
e48753,E-Business Tax: Vertex Q-Series and Taxware Sales/Use Tax System Implementation Guide,This guide provides implementer or administration concepts and processes for Oracle E-Business Tax: Vertex Q-Series and Taxware Sales/Use Tax System.,https://docs.oracle.com/cd/doc.122/e48753/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48753.pdf
e20932,e-Commerce Gateway Implementation Guide,"This guide describes required setup steps and provides architecture guidelines for transaction interface files. It also includes troubleshooting information, and how to customize EDI transactions.",https://docs.oracle.com/cd/doc.122/e20932/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20932.pdf
e20931,e-Commerce Gateway User's Guide,This guide describes the functionality of Oracle e-Commerce Gateway and the setup steps in order for Oracle E-Business Suite to conduct business with trading partners through Electronic Data Interchange (EDI).,https://docs.oracle.com/cd/doc.122/e20931/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e20931.pdf
e49049,Electronic Kanban User's Guide,This guide provides user processes and procedures for Oracle Electronic Kanban.,https://docs.oracle.com/cd/doc.122/e49049/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49049.pdf
e49104,Email Center Implementation Guide,This guide describes the implementer and administrator concepts and procedures for Oracle Email Center.,https://docs.oracle.com/cd/doc.122/e49104/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49104.pdf
e49105,Email Center User Guide,This guide provides user concepts and procedures for Oracle Email Center.,https://docs.oracle.com/cd/doc.122/e49105/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49105.pdf
e48939,Engineering User's Guide,This guide presents the user processes and procedures for Oracle Engineering.,https://docs.oracle.com/cd/doc.122/e48939/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48939.pdf
e48800,Environmental Accounting and Reporting User's Guide,This guide details the user procedures for Oracle E-Business Suite Environmental Accounting and Reporting.,https://docs.oracle.com/cd/doc.122/e48800/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48800.pdf
e49088,Field Service Implementation Guide,This guide provides information about Oracle Field Service implementation.,https://docs.oracle.com/cd/doc.122/e49088/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49088.pdf
e49089,Field Service User Guide,This guide provides information on using the various features of the Oracle Field Service application.,https://docs.oracle.com/cd/doc.122/e49089/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e49089.pdf
e48859,Financial Services Implementation Guide,Oracle Financial Services Implementation Guide,https://docs.oracle.com/cd/doc.122/e48859/toc.htm,ok,https://docs.oracle.com/cd/doc.122/e48859.pdf
