profile,required,default_value,category
OM: Default Line Type from Model,Req,Yes,Transaction Entry
OM: Default Salesrep,Opt,NULL,Transaction Entry
OM: Delayed Tax Calculation,No,No,Tax
OM: Discounting Privileges,Opt,NULL,"Pricing, Security"
OM: Display Actions Button vs. Pop list,Yes,Button,Forms UI
OM: Display Current Selections in Pricing and Availability,Opt,No,Forms UI
OM: Display New Order After Copy,Opt,No,Transaction Entry
OM: Electronic Message Integration Event Sources,,XML,Electronic Messaging
OM: E-Mail Required On New Customers,Opt,No,Customer Usage
OM: Enable Configuration UI for RMA,Opt,No,Configurations
OM: Enable Group Pricing for DSP Lines,,,Pricing
OM: Enable Partial Acceptance,Opt,No,Fulfillment
OM: Enable Related Items and Manual Substitutions,Opt,No,"Item Usage, Forms UI"
OM: Enable Repricing Preferences,Opt,Null - equivalent to No,Pricing
OM: Enforce Check For Duplicate Purchase Order,Req,Yes,Transaction Entry
OM: Enforce Shipping Method for Ship Sets,Opt,NULL,Scheduling
OM: Generate Diagnostics for Error Activities,No,No,Debug
OM: Generic Update Constraints Apply to DFF?,Opt,NULL,Transaction Entry
OM: Import Multiple Shipments,Opt,Null - equivalent to No,Order Import
OM: Included Item Freeze Method,Req,NULL,"Fulfillment, Configurations"
OM: Interface Freight Tax Classification Code From Line,Opt,No,Invoicing
OM: Invoice Numbering Method,Req,Automatic,Invoicing
OM: Item Change Honors Frozen Price,Opt,NULL,Pricing
OM: Item Flexfield,Req,System items,Item Usage
OM: Item View method,Opt,NULL,Forms UI
OM: Line Set for Promotional Items,Opt,NULL,Fulfillment
OM: List Price Override Privilege,Opt,NULL,"Pricing, Security"
OM: Modify Seeded Holds,Internal Use Only,Internal Use Only,"Holds, Security"
OM: Negative Pricing,Opt,NULL,Pricing
OM: New EDI Acknowledgment Framework,Opt,No,"Deployment, Electronic Messaging"
OM: Notification Approver,Opt,NULL,"Upgrade, Returns"
OM: Order Accept State For XML,Opt,Null - equivalent to Entered,Electronic Messaging
OM: Order Lines Threshold For Large Order Processing in Order Import,Opt,Null,Order Import
OM: Orders Archival Per Commit,Opt,100,Deployment
OM: Orders Purge Per Commit,Opt,100,Deployment
OM: Over Return Tolerance,Req,0,"Returns, Fulfillment"
OM: Over Shipment Tolerance,Req,0,Fulfillment
OM: Party Totals Currency,Req,US Dollars,Customer Usage
OM: Population Of Buyer Code For Dropship,Opt,NULL,Fulfillment
OM: Preserve External Credit Balances,Yes,Yes,Payments
OM: Prevent Booking for Line Generic Holds,Opt,NULL,"Holds, Transaction Entry"
OM: Price Adjustment Modifier for AIA Order Lines,Opt,NULL,Pricing
OM: Price Adjustment Modifier for Reference RMA,Yes,NULL,Pricing
OM: Price Adjustment Modifier for Spreadsheet Order Lines,Yes,Blank,Pricing
OM: Price Included Items,No,Yes,Pricing
OM: Printed Document Extension Class Name,Opt,NULL,Deployment
OM: Promotion Limit Violation Action,Opt,NULL,Pricing
OM: Quick Sales Order Form: Auto Refresh,Opt,Application,Forms UI
OM: Quick Sales Order Form: Defer Pricing,Opt,No,Forms UI
OM: Raise Status Change Business Event,Opt,Null,None
OM: Records on Summary Page for External Users,Opt,NULL,Portal UI
OM: Restrict Customer Items for Line Level Ship To Address,Opt,NULL,Item Usage
OM: Return Item Mismatch Action,Opt,NULL,"Returns, Transaction Entry"
OM: Return Unfulfilled Referenced Line Action,Opt,NULL,"Returns, Transaction Entry"
OM: Run Order Import for XML,Opt,NULL,Electronic Messaging
OM: Sales Order Form: Cascade Header Changes to Line,Opt,Null,Forms UI
OM: Sales Order Form Preference,Opt,Sales Orders,Forms UI
OM: Sales Order Form: Refresh Method (Query Co-ordination),Opt,Null - equivalent to Automatic Refresh with Repositioning of Cursor,Forms UI
OM: Sales Order Form: Restrict Customers,Opt,Global,"Forms UI, Customer Usage"
OM: Sales Order Navigation From P&A form,Opt,ASK,Forms UI
OM: Schedule ATO Item Without BOM,Opt,No,Scheduling
OM: Scheduling Role,Opt,NULL,"Scheduling, Forms UI, Security"
OM: Send Acknowledgment for Change PO Response,Opt,Null - equivalent to No,Electronic Messaging
OM: Send Changed Lines to Pricing,Opt,Yes,Pricing
OM: Send Notifications of Internal Order Change,Yes,Null,Security
OM: Sequence for TP Ship/Deliver Deadline,Opt,Null,Logistics
OM: Set Receivables Transaction Date as Current Date for Non-Shippable lines,Opt,No,Invoicing
OM: Show Line Details,Opt,NULL,Forms UI
OM: Show Process Messages Flag,Opt,NULL,Forms UI
OM: Source Code,Req,ORDER ENTRY,Fulfillment
OM: Source for TP Early Ship / Deliver Date,Opt,NULL,Logistics
OM: Use Configurator,Opt,Yes,"Deployment, Forms UI, Transaction Entry, Configurations"
OM: Use Item Orderability Custom Hook,No,NULL - equivalent to No,Forms UI
OM: Use Materialized View for Items LOV (Honours Item Orderability Rules),Yes,No,Fulfillment
OM: Under Return Tolerance,Req,0,"Returns, Fulfillment"
OM: Under Shipment Tolerance,Req,0,Fulfillment
"OM: Unique Order Source, Orig Sys Document Ref Combination For Each Customer",Opt,NULL,Order Import
OM: Unit Price Precision Type,Opt,NULL,Pricing
OM: UOM Class For Charge Periodicity,,,Pricing
OM: View Cancel Lines,Opt,Yes,Forms UI
OM: View Closed Lines,Opt,Yes,Forms UI
OM: View Intercompany AR invoice,Opt,No,Invoicing
OM: View Pricing/Availability Information in Related Items,Opt,Both,Forms UI
AR: Credit Limit Selection (AR),,,
AR: Item Flexfield Mode (AR),Req,NULL,
AR: Use Invoice Accounting for Credit Memos (AR),Req,No,
HZ: Generate Contact Number (AR),Req,NULL - equivalent to Yes,
HZ: Generate Party Number (AR),Req,NULL - equivalent to Yes,
HZ: Generate Party Site Number (AR),Req,NULL - equivalent to Yes,
Tax: Allow Ad Hoc Tax Changes (AR),Req,NULL,
Tax: Allow Manual Tax Lines (AR),Req,NULL,
EBTax: Allow Override of Customer Exemptions (AR),Req,NULL,
Tax: Allow Override of Tax Classification Code (AR),Req,NULL,
Tax: Calculate Tax on Credit Memos (AR),Opt,NULL,
Tax: Use Tax PL/SQL Vendor (AR),,No,
Tax: Use Tax Vendor (AR),Req,No,
BOM: Check for Duplicate Configuration (BOM),Opt,No,
BOM: Component Item Sequence Increment (BOM),Opt,10,
BOM: Configurator URL of UI Manager (BOM),Req,,
BOM: Default Bill of Material Levels (BOM),Opt,No,
Sequential Numbering (FND),Req,,
Default Country (FND),Req,NULL,
Flexfields: Open Descr Window (FND),Opt,Yes,
Journals: Display Inverse Rate (GL),Opt,At site level,
INV: Capable to Promise (INV),Opt,NULL,
OKC: Enable Sales Contracts (OKC),Opt,NULL,
QP: Accrual UOM Class (QP),Opt,No Default,
QP: Blind Discount Option (QP),Req,Yes,
QP: Item Validation Organization (QP),Req,No Default,
QP: High Volume Order Processing Compliance (QP),,,
QP: Line Volume UOM Code (QP),Opt,No Default,
QP: Line Weight UOM Code (QP),Opt,No Default,
QP: Negative Pricing (QP),Req,No Default,
QP: Return Manual Discounts (QP),,,
QP: Source System Code (QP),Req,No Default,
QP: Unit Price Precision Type (QP),Req,Standard,
QP: Verify GSA Violations (QP),Req,No,
WSH: Internet Proxy URL (WSH),Opt,NULL,
